"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"SBIN","EQ","26-Dec-2017","        319.85","        318.60","        319.95","        316.30","        317.00","        317.15","        317.39","    9329690","          2961127927.40","      63313"
"SBIN","N2","26-Dec-2017","      11211.90","      11214.99","      11260.00","      11214.00","      11225.00","      11225.00","      11221.89","        150","             1683283.99","         23"
"SBIN","N5","26-Dec-2017","      11585.92","      11550.00","      11599.00","      11541.00","      11570.00","      11570.00","      11578.89","        176","             2037884.00","         23"
"SBIN","EQ","27-Dec-2017","        317.15","        316.50","        320.30","        313.05","        313.45","        314.85","        316.25","   14276027","          4514749324.85","      72884"
"SBIN","N2","27-Dec-2017","      11225.00","      11250.00","      11255.00","      11215.00","      11215.00","      11215.00","      11239.45","         29","              325944.00","         13"
"SBIN","N5","27-Dec-2017","      11570.00","      11585.00","      11623.99","      11575.00","      11590.00","      11591.66","      11587.64","        104","             1205115.00","         24"
"SBIN","EQ","28-Dec-2017","        314.85","        315.30","        316.50","        307.65","        308.30","        308.40","        310.67","   20353152","          6323020584.75","     112379"
"SBIN","N2","28-Dec-2017","      11215.00","      11260.00","      11260.00","      11260.00","      11260.00","      11260.00","      11260.00","         12","              135120.00","          2"
"SBIN","N5","28-Dec-2017","      11591.66","      11600.00","      11665.00","      11587.00","      11665.00","      11664.07","      11603.24","        423","             4908169.94","         28"
"SBIN","N6","28-Dec-2017","      11001.10","      11470.00","      11470.00","      11470.00","      11470.00","      11470.00","      11470.00","          5","               57350.00","          1"
"SBIN","EQ","29-Dec-2017","        308.40","        310.00","        312.00","        309.05","        310.00","        309.90","        310.39","   11939569","          3705904665.80","      98011"
"SBIN","N2","29-Dec-2017","      11260.00","      11242.00","      11335.00","      11242.00","      11300.00","      11300.00","      11304.92","         62","              700905.00","          9"
"SBIN","N5","29-Dec-2017","      11664.07","      11669.00","      11669.00","      11625.00","      11627.10","      11636.68","      11639.77","        117","             1361852.94","         27"
